gene_id	name	ko_flux	dependency_score	essential
b2533	suhB	0.9865144469529679	0.0	nonessential
b0763	modA	0.9865144469529679	0.0	nonessential
b3390	aroK	0.9865144469529772	0.0	nonessential
b1106	thiK	0.9865144469529696	0.0	nonessential
b0388	aroL	0.9865144469529772	0.0	nonessential
b2253	arnB	0.9865144469529659	0.0	nonessential
b3493	pitA	0.9865144469529656	0.0	nonessential
b1388	paaA	0.9865144469529752	0.0	nonessential
b1981	shiA	0.9865144469529775	0.0	nonessential
b1389	paaB	0.9865144469529772	0.0	nonessential
b1392	paaE	0.9865144469529813	0.0	nonessential
b1584	speG	0.986514446952988	0.0	nonessential
b1390	paaC	0.986514446952988	0.0	nonessential
b1600	mdtJ	0.986514446952988	0.0	nonessential
b1391	paaD	0.986514446952988	0.0	nonessential
b2943	galP	0.9865144469529723	0.0	nonessential
b3908	sodA	0.986514446952988	0.0	nonessential
b1398	paaK	0.986514446952988	0.0	nonessential
b1656	sodB	0.986514446952988	0.0	nonessential
b1646	sodC	0.986514446952988	0.0	nonessential
b1525	sad	0.986514446952988	0.0	nonessential
b2255	arnA	0.9865144469529576	0.0	nonessential
b2028	ugd	0.9865144469529673	0.0	nonessential
b1473	yddG	0.9865144469529656	0.0	nonessential
b1278	pgpB	0.9865144469529697	0.0	nonessential
b2661	gabD	0.9865144469529772	0.0	nonessential
b2036	glf	0.9865144469529576	0.0	nonessential
b0383	phoA	0.9865144469529576	0.0	nonessential
b0759	galE	0.9865144469529576	0.0	nonessential
b1702	ppsA	0.9865144469529649	0.0	nonessential
b1599	mdtI	0.986514446952988	0.0	nonessential
b4233	mpl	0.9865144469529638	0.0	nonessential
b2797	sdaB	0.9865144469529703	0.0	nonessential
b0613	citG	0.9865144469529659	0.0	nonessential
b1814	sdaA	0.9865144469529795	0.0	nonessential
b0893	serS	0.9865144469529703	0.0	nonessential
b0350	mhpD	0.9865144469529772	0.0	nonessential
b3116	tdcC	0.9865144469529772	0.0	nonessential
b1207	prs	0.9865144469529668	0.0	nonessential
b2796	sdaC	0.9865144469529731	0.0	nonessential
b3726	pstA	0.9865144469529785	0.0	nonessential
b3089	sstT	0.9865144469529703	0.0	nonessential
b2965	speC	0.9865144469529772	0.0	nonessential
b0355	frmB	0.9865144469529772	0.0	nonessential
b2154	yeiG	0.9865144469529772	0.0	nonessential
b3281	aroE	0.9865144469529772	0.0	nonessential
b2258	arnF	0.9865144469529759	0.0	nonessential
b0693	speF	0.9865144469529772	0.0	nonessential
b3725	pstB	0.9865144469529781	0.0	nonessential
b1744	astE	0.9865144469529772	0.0	nonessential
b0194	proS	0.9865144469529747	0.0	nonessential
b1746	astD	0.9865144469529772	0.0	nonessential
b0505	allA	0.9865144469529664	0.0	nonessential
b2373	oxc	0.9865144469529767	0.0	nonessential
b1387	paaZ	0.9865144469529843	0.0	nonessential
b3403	pck	0.9865144469529725	0.0	nonessential
b1394	paaG	0.9865144469529666	0.0	nonessential
b2987	pitB	0.9865144469529656	0.0	nonessential
b0758	galT	0.9865144469529704	0.0	nonessential
