gene_id	name	dependency_score	essential	wt_biomass	ko_biomass
b0781	moaA	1.0	True	0.9823718127269785	0.0
b2436	hemF	4.254482298008955e-05	False	0.9823718127269785	0.9823300178921054
b0679	nagE	0.0	False	0.9823718127269785	0.9823718127269854
b3867	hemN	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b2290	alaA	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b3959	argB	1.0	True	0.9823718127269785	0.0
b2379	alaC	0.0	False	0.9823718127269785	0.9823718127269806
b0038	caiB	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b2818	argA	1.0	True	0.9823718127269785	-1.2425759274682694e-15
b0037	caiC	0.0	False	0.9823718127269785	0.98237181272699
b2697	alaS	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b3457	livH	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b0036	caiD	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b2677	proV	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b3670	ilvN	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b2678	proW	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b2679	proX	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b3460	livJ	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b3456	livM	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b3455	livG	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b3454	livF	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b3671	ilvB	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b4208	cycA	0.0006478893703036469	False	0.9823718127269785	0.9817353444718268
b4111	proP	0.0	False	0.9823718127269785	0.9823718127269809
b0040	caiT	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b0078	ilvH	1.5822036161243103e-15	False	0.9823718127269785	0.9823718127269769
b0720	gltA	1.0	True	0.9823718127269785	-1.2425759274682694e-15
b0007	yaaJ	7.235191107448453e-13	False	0.9823718127269785	0.9823718127262677
b0077	ilvI	5.085654480399569e-15	False	0.9823718127269785	0.9823718127269735
b0337	codA	5.085654480399569e-15	False	0.9823718127269785	0.9823718127269735
b1849	purT	5.085654480399569e-15	False	0.9823718127269785	0.9823718127269735
b0336	codB	2.8253636002219827e-15	False	0.9823718127269785	0.9823718127269757
b3846	fadB	0.0031099146209825623	False	0.9823718127269785	0.9793167202633377
b0356	frmA	4.068523584319655e-15	False	0.9823718127269785	0.9823718127269745
b1478	adhP	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b3115	tdcD	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b1385	feaB	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
