gene_id	name	dependency_score	essential	retained
b3591	selA	0	nonessential	0
b0171	pyrH	0	nonessential	1
b1764	selD	0	nonessential	0
b3728	pstS	0	nonessential	0
b0888	trxB	0	nonessential	1
b3727	pstC	0	nonessential	0
b4254	argI	0	nonessential	0
b2366	dsdA	0	nonessential	0
b2703	srlE	0	nonessential	0
b4072	nrfC	0	nonessential	0
b3073	patA	0	nonessential	0
b1011	rutB	0	nonessential	0
b3849	trkH	0	nonessential	0
b1469	narU	0	nonessential	0
b3290	trkA	0	nonessential	0
b4073	nrfD	0	nonessential	0
b0692	potE	0	nonessential	0
b2498	upp	0	nonessential	0
b3519	treF	0	nonessential	0
b1907	tyrP	0	nonessential	0
b2552	hmp	0	nonessential	0
b2744	umpG	0	nonessential	0
b4070	nrfA	0	nonessential	0
b2297	pta	0	nonessential	1
b1896	otsA	0	nonessential	0
b2027	wzzB	0	nonessential	0
b1250	kch	0	nonessential	0
b4374	yjjG	0	nonessential	0
b2035	wbbH	0	nonessential	0
b2291	yfbR	0	nonessential	0
b2033	wbbJ	0	nonessential	0
b0480	ushA	0	nonessential	0
b2458	eutD	0	nonessential	0
b2037	wzxB	0	nonessential	0
b2034	wbbI	0	nonessential	0
b1897	otsB	0	nonessential	0
b2032	wbbK	0	nonessential	0
b4161	rsgA	0	nonessential	0
b1291	sapD	0	nonessential	0
b0337	codA	0	nonessential	0
b0077	ilvI	0	nonessential	0
b0007	yaaJ	0	nonessential	0
b0078	ilvH	0	nonessential	0
b0040	caiT	0	nonessential	0
b4111	proP	0	nonessential	0
b3671	ilvB	0	nonessential	0
b3454	livF	0	nonessential	0
b4094	phnN	0	nonessential	0
b3456	livM	0	nonessential	0
b3460	livJ	0	nonessential	0
b2679	proX	0	nonessential	0
b2678	proW	0	nonessential	0
b3670	ilvN	0	nonessential	1
b2677	proV	0	nonessential	0
b0036	caiD	0	nonessential	0
b3457	livH	0	nonessential	0
b3455	livG	0	nonessential	0
b0516	allC	0	nonessential	0
b1818	manY	0	nonessential	0
b0484	copA	0	nonessential	0
b0123	cueO	0	nonessential	0
b4090	rpiB	0	nonessential	0
b1817	manX	0	nonessential	0
b1819	manZ	0	nonessential	0
b4084	alsK	0	nonessential	0
b1849	purT	0	nonessential	0
b3588	aldB	0	nonessential	0
b2428	murQ	0	nonessential	0
b1300	puuC	0	nonessential	0
b2296	ackA	0	nonessential	0
b1385	feaB	0	nonessential	0
b3115	tdcD	0	nonessential	0
b1478	adhP	0	nonessential	0
b0356	frmA	0	nonessential	0
b0336	codB	0	nonessential	0
b3794	wecG	0	nonessential	0
b3544	dppA	0	nonessential	0
b1486	ddpB	0	nonessential	0
b1484	ddpD	0	nonessential	0
b0462	acrB	0	nonessential	0
b2470	acrD	0	nonessential	0
b3784	wecA	0	nonessential	0
b0463	acrA	0	nonessential	0
b3543	dppB	0	nonessential	0
b2697	alaS	0	nonessential	1
